"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
6.457375013E-3	-7.067790031E-1	-1.676740766E0	-5.403611660E-1	1.898153404E0
1.641137502E-2	-8.260565996E-1	-1.876100063E0	-6.483485103E-1	2.149994592E0
2.636637501E-2	-8.618569374E-1	-1.822433472E0	-6.580194831E-1	2.120625092E0
3.632137502E-2	-8.257665038E-1	-1.543179035E0	-6.177766919E-1	1.856054928E0
4.627537500E-2	-7.919161320E-1	-1.066577673E0	-4.004049301E-1	1.387459261E0
5.623037502E-2	-7.476505637E-1	-7.339175344E-1	-1.352965534E-1	1.056371843E0
6.618537501E-2	-6.920986176E-1	-6.234688163E-1	9.749275446E-2	9.365995401E-1
7.613937501E-2	-6.523515582E-1	-6.525751948E-1	2.854734659E-1	9.658737185E-1
8.609437500E-2	-6.229441166E-1	-7.442856431E-1	4.525910914E-1	1.070915117E0
9.604937502E-2	-6.458345652E-1	-8.964547515E-1	5.689051151E-1	1.242733454E0
1.060043750E-1	-7.245237827E-1	-1.111843228E0	5.663204789E-1	1.442861380E0
1.159583750E-1	-7.608631849E-1	-1.109758496E0	5.530663133E-1	1.454771134E0
1.259133750E-1	-7.978206873E-1	-1.022984743E0	5.765639544E-1	1.419662505E0
1.358683750E-1	-8.720132709E-1	-1.045386553E0	5.728851557E-1	1.476969056E0
1.458223750E-1	-8.955166936E-1	-9.220748544E-1	5.602913499E-1	1.402176373E0
1.557773750E-1	-8.902122378E-1	-7.689541578E-1	5.476939082E-1	1.297588896E0
1.657323750E-1	-8.275682926E-1	-5.986937284E-1	5.370210409E-1	1.153990926E0
1.756863750E-1	-7.231464386E-1	-3.620458245E-1	5.365420580E-1	9.705129215E-1
1.856413750E-1	-6.198458672E-1	-1.712002605E-1	5.342490673E-1	8.360266109E-1
1.955963750E-1	-5.110457540E-1	2.849221975E-2	5.312048197E-1	7.376707461E-1
2.055513750E-1	-4.308704734E-1	2.290817797E-1	5.292968750E-1	7.199187513E-1
2.155053750E-1	-3.733473420E-1	4.526965022E-1	5.245059729E-1	7.870380400E-1
2.254603750E-1	-3.340896964E-1	6.960297823E-1	5.045301318E-1	9.222928152E-1
2.354153750E-1	-3.184859753E-1	8.436315060E-1	4.782372713E-1	1.020714613E0
2.453693750E-1	-3.647597134E-1	9.151824117E-1	3.834926486E-1	1.057201545E0
2.553243750E-1	-3.831762373E-1	1.017430902E0	2.677081227E-1	1.119668392E0
2.652793750E-1	-3.730695248E-1	1.004898667E0	1.560569406E-1	1.083215570E0
2.752333750E-1	-3.292568326E-1	8.981505036E-1	3.944984823E-2	9.574135363E-1
2.851883750E-1	-2.376022786E-1	7.941588759E-1	-4.873780161E-2	8.303725286E-1
2.951433750E-1	-1.503181010E-1	7.926425934E-1	-1.023991629E-1	8.132425228E-1
3.050983750E-1	-1.924162805E-1	7.632556558E-1	-1.462102979E-1	8.006001950E-1
3.150523750E-1	-2.800370455E-1	8.571276069E-1	-2.090184391E-1	9.256225954E-1
3.250073750E-1	-3.126911223E-1	9.734610915E-1	-2.540666163E-1	1.053542633E0
